"","accelerometer_x","accelerometer_y","accelerometer_z","gyroscope_x","gyroscope_y","gyroscope_z","linear_acc_x","linear_acc_y","linear_acc_z","gravity_x","gravity_y","gravity_z","orientation_z","orientation_x","orientation_y","activity"
"4188",0.103,-9.9338,1.4198,-0.6881,-9.7258,1.0515,0.7609,-0.2125,0.3657,0.1526,-1.0601,0.0572,186.39,82.96,36.39,"vacuum"
"4189",-0.5818,-10.3074,2.0016,-0.6508,-9.698,1.3024,0.0636,-0.3311,0.5083,0.1202,-1.0613,0.1891,185.94,82.46,31.42,"vacuum"
"4190",-5.1333,-16.7863,-0.9362,-0.6939,-9.6308,1.7138,-4.4395,-7.1555,-2.6499,0.5374,-1.0515,0.2789,186.32,80.54,25.81,"vacuum"
"4191",-2.83,-12.2754,-0.7853,-0.6389,-9.6861,1.3935,-2.1911,-2.5894,-2.1789,-0.6629,-0.3594,0.1103,190.7,79.16,19.72,"vacuum"
"4192",-2.921,-8.3728,-0.2227,-1.274,-9.7153,0.3991,-1.331,1.2779,-0.4182,-0.5933,-0.3118,0.304,142.92,82.73,60.41,"vacuum"
"4193",-3.1245,-8.6745,-1.0128,-1.8532,-9.6298,0.0496,-1.2713,0.9553,-1.0624,-0.1798,-0.0332,0.2802,117.65,81.41,79.93,"vacuum"
"4194",-3.522,-9.0695,-0.6201,-2.2317,-9.5477,-0.1778,-1.2903,0.4782,-0.4423,-0.0741,-0.0693,0.114,95.68,76.8,94.56,"vacuum"
"4195",-3.3209,-9.1701,-0.5052,-2.5242,-9.4713,-0.3061,-0.7153,0.2868,-0.2254,0.0713,0.2814,-0.054,87.88,74.97,96.91,"vacuum"
"4196",-3.1365,-8.9306,0.0072,-2.5771,-9.4538,-0.3922,-0.5594,0.5232,0.3994,0.2265,0.6772,-0.1756,84.93,74.42,98.39,"vacuum"
"4197",-2.2889,-9.1126,-0.1891,-2.4037,-9.5038,-0.263,0.1599,0.4003,-0.0413,0.4384,0.8788,-0.39,94.31,75.73,96.24,"vacuum"
"4198",-2.8252,-9.9003,-0.5746,-2.0503,-9.5899,-0.0191,-0.5117,-0.3045,-0.6751,0.3639,0.7377,-0.1578,97.35,77.17,93.34,"vacuum"
"4199",-0.2322,-11.1238,0.5052,-2.1237,-9.5717,0.2072,2.1383,-1.5334,0.3604,0.5056,1.2624,-0.1578,114.95,77.43,84.43,"vacuum"
"4200",0.1963,-10.6713,1.7526,-1.6809,-9.659,0.22,1.6484,-0.6604,1.3828,0.0322,1.1292,-0.1572,122.94,78.49,81.99,"vacuum"
"4201",-0.6105,-9.1294,1.6784,-1.3187,-9.7136,0.2792,0.7082,0.5842,1.3992,-0.0185,1.1158,-0.0992,139.27,81.3,80.11,"vacuum"
"4202",-0.5004,-9.8692,1.1157,-1.2422,-9.7224,0.3197,0.7418,-0.1468,0.796,-0.1009,1.2062,0.092,152.7,82.41,76.36,"vacuum"
"4203",-0.2969,-9.0647,1.2809,-1.2905,-9.7203,0.1413,1.2043,0.3587,0.9792,-0.3581,1.3938,0.296,159.02,82.39,83.75,"vacuum"
"4204",0.8859,-8.1741,0.6034,-1.4524,-9.6973,-0.1501,2.3383,1.5233,0.7535,-0.1199,0.7163,-0.0454,159.56,81.79,89.18,"vacuum"
"4205",-3.9697,-10.803,-0.9673,-1.3531,-9.7084,-0.2938,-2.6167,-1.0946,-0.6735,-0.2329,0.3296,0.1158,157.24,81.44,95.9,"vacuum"
"4206",-2.1644,-9.103,0.3831,-1.4803,-9.6858,-0.4037,-0.5189,0.6882,0.7964,0.3151,0.4933,0.0963,155.56,81.18,106.24,"vacuum"
"4207",-2.9402,-9.0144,-0.3041,-1.6032,-9.673,-0.1817,-1.337,0.6586,-0.1224,0.1226,0.5294,-0.0094,163.97,80.85,102.01,"vacuum"
"4208",-3.3568,-9.3449,-0.1101,-1.6857,-9.6604,-0.0707,-1.6711,0.3155,-0.0394,0.312,0.9704,-0.0925,177.48,80.25,93.96,"vacuum"
"4209",-3.012,-8.945,1.1373,-1.7765,-9.6438,0.1101,-1.2355,0.6988,1.0272,0.6614,1.7126,-0.1902,184.07,79.85,91.34,"vacuum"
"4210",-3.0503,-10.4342,-0.8595,-1.8745,-9.6128,0.5008,-1.1758,-0.8215,-1.3603,0.4372,1.4518,0.1641,216.21,78.98,75.81,"vacuum"
"4211",0.407,-11.459,0.5842,-2.1299,-9.5553,0.5734,2.5369,-1.9037,0.0108,0.4574,1.9857,-0.277,229.6,77.67,75.37,"vacuum"
"4212",2.7726,-9.9123,1.2522,-1.6332,-9.6582,0.4709,4.4058,-0.2541,0.7813,-0.1345,1.621,-0.1041,240.11,80.02,73.92,"vacuum"
"4213",-1.7335,-9.3257,0.431,-1.3237,-9.7026,-0.5259,-0.4098,0.3769,0.9569,-1.046,1.095,0.4836,230.15,82,82.91,"vacuum"
